Date,Temperature,Relative Humidity,Peak Demand,Population Growth (%),Precipitation,Energy Imports (%),Wind speed 10 m,Delhi_Daily_Sales,Cumulative_EVs_Delhi,Estimated_Charging_Load_MW,Energy Mix Contribution (%),Renewable Energy (%),Earth Skin Temperature,GDP (Trillions USD)
1/1/2020,10.65,48.65,174.2,0.973,0,29.382,2.49,53.02,53.02,0.08,6.96,3.955,9.13,2.53
1/2/2020,12.48,72.65,173.3666667,0.973,0.06,29.382,2.41,53.02,106.04,0.16,6.96,3.955,12.07,2.53
1/3/2020,14.64,74.02,172.5333333,0.973,0.06,29.382,2.01,53.02,159.06,0.24,6.96,3.955,14.57,2.53
1/4/2020,13.88,66.9,171.7,0.973,0.09,29.382,2.32,53.02,212.08,0.31,6.96,3.955,13.35,2.53
1/5/2020,12.81,54.56,153.7333333,0.973,0,29.382,2.84,53.02,265.1,0.39,6.96,3.955,12.41,2.53
1/6/2020,13.7,55.23,170,0.973,0.02,29.382,2.48,53.02,318.12,0.47,6.96,3.955,13.66,2.53
1/7/2020,14.59,75.14,169.1666667,0.973,0.89,29.382,2.98,53.02,371.14,0.55,6.96,3.955,14.99,2.53
1/8/2020,13.18,86.74,168.3333333,0.973,9.69,29.382,2.66,53.02,424.16,0.63,6.96,3.955,13.38,2.53
1/9/2020,9.67,67.72,167.5,0.973,0.15,29.382,3.98,53.02,477.18,0.71,6.96,3.955,9.94,2.53
1/10/2020,8.99,55.02,166.6666667,0.973,0,29.382,3.44,53.02,530.2,0.78,6.96,3.955,8.96,2.53
1/11/2020,10.4,43.57,165.8333333,0.973,0,29.382,2.51,53.02,583.22,0.86,6.96,3.955,9.13,2.53
1/12/2020,13.13,38.27,148.5,0.973,0,29.382,1.95,53.02,636.24,0.94,6.96,3.955,11.22,2.53
1/13/2020,14.82,57.85,164.1333333,0.973,0.27,29.382,3.5,53.02,689.26,1.02,6.96,3.955,14.7,2.53
1/14/2020,14.25,70.79,163.3,0.973,0.02,29.382,2.29,53.02,742.28,1.1,6.96,3.955,14.89,2.53
1/15/2020,13.32,67.25,162.4666667,0.973,0,29.382,2.22,53.02,795.3,1.18,6.96,3.955,13.99,2.53
1/16/2020,12.64,81.97,161.6333333,0.973,3.03,29.382,2.84,53.02,848.32,1.26,6.96,3.955,13.02,2.53
1/17/2020,12.85,76.27,160.8,0.973,7.54,29.382,2.69,53.02,901.34,1.33,6.96,3.955,13.15,2.53
1/18/2020,12.95,67.51,159.9666667,0.973,0,29.382,2.25,53.02,954.36,1.41,6.96,3.955,12.85,2.53
1/19/2020,11.06,66.46,143.2333333,0.973,0,29.382,3.22,53.02,1007.38,1.49,6.96,3.955,11.25,2.53
1/20/2020,11.01,67.55,158.3,0.973,0,29.382,2.48,53.02,1060.4,1.57,6.96,3.955,11.23,2.53
1/21/2020,13.13,50.6,157.4333333,0.973,0,29.382,2.04,53.02,1113.42,1.65,6.96,3.955,12.84,2.53
1/22/2020,12.91,51.7,156.6,0.973,0,29.382,3.23,53.02,1166.44,1.73,6.96,3.955,12.29,2.53
1/23/2020,11.36,58.68,155.7666667,0.973,0,29.382,5.32,53.02,1219.46,1.8,6.96,3.955,11.4,2.53
1/24/2020,11.46,48.89,154.9333333,0.973,0,29.382,4.73,53.02,1272.48,1.88,6.96,3.955,11.29,2.53
1/25/2020,11.77,47.91,154.1,0.973,0,29.382,2.58,53.02,1325.5,1.96,6.96,3.955,11.6,2.53
1/26/2020,14.12,54.88,137.9333333,0.973,0,29.382,2.79,53.02,1378.52,2.04,6.96,3.955,13.61,2.53
1/27/2020,15.98,58.08,152.4333333,0.973,0.44,29.382,2.54,53.02,1431.54,2.12,6.96,3.955,15.06,2.53
1/28/2020,14.23,74.55,151.6,0.973,5.96,29.382,2.86,53.02,1484.56,2.2,6.96,3.955,13.55,2.53
1/29/2020,13.94,68.64,150.7333333,0.973,1.26,29.382,2.23,53.02,1537.58,2.28,6.96,3.955,13.86,2.53
1/30/2020,12.01,61.52,149.9,0.973,0,29.382,3.91,53.02,1590.6,2.35,6.96,3.955,12.11,2.53
1/31/2020,11.83,57.77,149.0666667,0.973,0,29.382,2.92,53.02,1643.62,2.43,6.96,3.955,11.39,2.53
2/1/2020,12.39,53.14,148.2333333,0.973,0,29.382,2.29,55.69,1699.31,2.51,6.96,3.955,11.73,2.53
2/2/2020,11.46,59.41,132.7333333,0.973,0,29.382,3.53,55.69,1755,2.6,6.96,3.955,11.52,2.53
2/3/2020,12.08,55.59,146.7,0.973,0,29.382,2.46,55.69,1810.69,2.68,6.96,3.955,11.11,2.53
2/4/2020,12.61,49.46,145.9,0.973,0,29.382,2.18,55.69,1866.38,2.76,6.96,3.955,12.09,2.53
2/5/2020,12.66,51.35,145.1333333,0.973,0,29.382,3.36,55.69,1922.07,2.84,6.96,3.955,12.92,2.53
2/6/2020,12.14,53.86,144.3666667,0.973,0,29.382,2.44,55.69,1977.76,2.93,6.96,3.955,12.03,2.53
2/7/2020,12.41,51.66,143.6,0.973,0,29.382,2.82,55.69,2033.45,3.01,6.96,3.955,12.37,2.53
2/8/2020,11.94,56.28,142.8333333,0.973,0,29.382,3.35,55.69,2089.14,3.09,6.96,3.955,11.98,2.53
2/9/2020,12.83,53.56,127.8666667,0.973,0,29.382,2.74,55.69,2144.83,3.17,6.96,3.955,12.54,2.53
2/10/2020,13.52,48.55,141.2666667,0.973,0,29.382,2.6,55.69,2200.52,3.26,6.96,3.955,12.78,2.53
2/11/2020,14.23,48.24,140.5,0.973,0,29.382,2.28,55.69,2256.21,3.34,6.96,3.955,13.15,2.53
2/12/2020,15.65,49.44,139.7333333,0.973,0,29.382,3.78,55.69,2311.9,3.42,6.96,3.955,15.4,2.53
2/13/2020,18.71,51.77,138.9666667,0.973,0,29.382,5.43,55.69,2367.59,3.5,6.96,3.955,18.87,2.53
2/14/2020,17.74,47.16,138.2,0.973,0,29.382,6.13,55.69,2423.28,3.59,6.96,3.955,17.82,2.53
2/15/2020,15.62,40.25,137.4333333,0.973,0,29.382,4.63,55.69,2478.97,3.67,6.96,3.955,15.55,2.53
2/16/2020,16.12,38.31,122.9666667,0.973,0,29.382,3.54,55.69,2534.66,3.75,6.96,3.955,15.64,2.53
2/17/2020,16.46,35.09,135.8666667,0.973,0,29.382,3.7,55.69,2590.35,3.83,6.96,3.955,15.71,2.53
2/18/2020,16.31,35.2,135.1,0.973,0,29.382,3.7,55.69,2646.04,3.92,6.96,3.955,15.51,2.53
2/19/2020,18.39,32.59,134.3333333,0.973,0,29.382,3.58,55.69,2701.73,4,6.96,3.955,17.05,2.53
2/20/2020,19.08,41.89,133.5666667,0.973,1.75,29.382,5.64,55.69,2757.42,4.08,6.96,3.955,19.14,2.53
2/21/2020,17.18,66.77,132.8,0.973,9.08,29.382,4.97,55.69,2813.11,4.16,6.96,3.955,17.27,2.53
2/22/2020,17.31,69.15,132,0.973,0.08,29.382,2.49,55.69,2868.8,4.25,6.96,3.955,17.16,2.53
2/23/2020,19.26,58.34,118.1,0.973,0.29,29.382,1.58,55.69,2924.49,4.33,6.96,3.955,19.33,2.53
2/24/2020,18.91,57.48,130.4666667,0.973,0,29.382,3.06,55.69,2980.18,4.41,6.96,3.955,19.39,2.53
2/25/2020,18.45,54.38,129.7,0.973,0.57,29.382,2.84,55.69,3035.87,4.49,6.96,3.955,18.88,2.53
2/26/2020,18.91,58.02,128.9333333,0.973,0,29.382,2.58,55.69,3091.56,4.58,6.96,3.955,19.05,2.53
2/27/2020,18.11,62.36,128.1666667,0.973,0,29.382,2.65,55.69,3147.25,4.66,6.96,3.955,18.47,2.53
2/28/2020,19.58,61.01,127.3666667,0.973,0,29.382,4.33,55.69,3202.94,4.74,6.96,3.955,20.13,2.53
2/29/2020,19.94,66.2,126.6,0.973,5.39,29.382,3.93,55.69,3258.63,4.82,6.96,3.955,20.3,2.53
3/1/2020,20.47,65.14,113.2666667,0.973,1.02,29.382,2.46,43.55,3302.18,4.89,6.96,3.955,21.37,2.53
3/2/2020,20.93,53.4,125.4,0.973,0,29.382,2,43.55,3345.73,4.95,6.96,3.955,21.82,2.53
3/3/2020,21,48.75,124.9333333,0.973,0,29.382,2.64,43.55,3389.28,5.02,6.96,3.955,21.57,2.53
3/4/2020,21.23,52.15,124.5,0.973,4.16,29.382,2.55,43.55,3432.83,5.08,6.96,3.955,21.67,2.53
3/5/2020,20.19,71.64,124.0666667,0.973,6.15,29.382,3.69,43.55,3476.38,5.15,6.96,3.955,20.64,2.53
3/6/2020,17.96,81.39,123.6,0.973,37.97,29.382,4.62,43.55,3519.93,5.21,6.96,3.955,17.94,2.53
3/7/2020,18,66.53,123.1666667,0.973,0.16,29.382,2.16,43.55,3563.48,5.27,6.96,3.955,17.64,2.53
3/8/2020,18.14,55.99,110.4666667,0.973,0,29.382,2.62,43.55,3607.03,5.34,6.96,3.955,18.2,2.53
3/9/2020,17.52,55,122.2666667,0.973,0,29.382,4.62,43.55,3650.58,5.4,6.96,3.955,17.63,2.53
3/10/2020,18.18,48.01,121.8333333,0.973,0,29.382,2.31,43.55,3694.13,5.47,6.96,3.955,18.61,2.53
3/11/2020,19.97,63.72,121.4,0.973,0.53,29.382,3.54,43.55,3737.68,5.53,6.96,3.955,20.43,2.53
3/12/2020,21.01,62.18,120.9333333,0.973,1.86,29.382,3.33,43.55,3781.23,5.6,6.96,3.955,21.44,2.53
3/13/2020,20.02,43.93,120.5,0.973,1.99,29.382,2.23,43.55,3824.78,5.66,6.96,3.955,19.82,2.53
3/14/2020,16.97,59.4,120.0666667,0.973,4.09,29.382,2.54,43.55,3868.33,5.73,6.96,3.955,17.55,2.53
3/15/2020,17.73,54.72,107.6333333,0.973,2.8,29.382,1.7,43.55,3911.88,5.79,6.96,3.955,18.51,2.53
3/16/2020,19.27,55,119.1666667,0.973,0,29.382,2.51,43.55,3955.43,5.85,6.96,3.955,19.78,2.53
3/17/2020,20.39,51.54,118.7333333,0.973,0,29.382,3.52,43.55,3998.98,5.92,6.96,3.955,20.55,2.53
3/18/2020,21.42,50,118.3,0.973,0,29.382,3.61,43.55,4042.53,5.98,6.96,3.955,21.63,2.53
3/19/2020,22.65,53.47,117.8333333,0.973,0,29.382,2.63,43.55,4086.08,6.05,6.96,3.955,23,2.53
3/20/2020,23.72,50.62,117.4,0.973,0.01,29.382,1.58,43.55,4129.63,6.11,6.96,3.955,23.67,2.53
3/21/2020,24.72,44.77,116.9666667,0.973,0,29.382,1.37,43.55,4173.18,6.18,6.96,3.955,25.05,2.53
3/22/2020,24.18,45.67,104.8666667,0.973,0,29.382,2.76,43.55,4216.73,6.24,6.96,3.955,24.39,2.53
3/23/2020,23.77,48.31,116.0666667,0.973,0,29.382,2.36,43.55,4260.28,6.31,6.96,3.955,24.63,2.53
3/24/2020,24.48,48.4,115.6333333,0.973,0.48,29.382,2.25,43.55,4303.83,6.37,6.96,3.955,24.5,2.53
3/25/2020,25.36,48.98,115.1666667,0.973,0,29.382,3.35,43.55,4347.38,6.43,6.96,3.955,26.03,2.53
3/26/2020,24,54.76,114.7333333,0.973,0.24,29.382,3.9,43.55,4390.93,6.5,6.96,3.955,24.52,2.53
3/27/2020,22.54,63.23,114.3,0.973,3.74,29.382,3.34,43.55,4434.48,6.56,6.96,3.955,23.4,2.53
3/28/2020,22.74,55.7,113.8333333,0.973,0.04,29.382,3.58,43.55,4478.03,6.63,6.96,3.955,23.8,2.53
3/29/2020,23.1,45.17,102.0666667,0.973,0,29.382,4.85,43.55,4521.58,6.69,6.96,3.955,23.79,2.53
3/30/2020,22.86,46.48,112.9666667,0.973,0,29.382,4.4,43.55,4565.13,6.76,6.96,3.955,23.59,2.53
3/31/2020,23.69,47.46,112.5,0.973,0.01,29.382,4.02,43.55,4608.68,6.82,6.96,3.955,24.36,2.53
4/1/2020,25.71,49.42,112.0666667,0.973,0.67,29.382,2.78,30,4638.68,6.87,6.96,3.955,26.65,2.53
4/2/2020,24.36,46.16,114.4,0.973,0,29.382,4.58,30,4668.68,6.91,6.96,3.955,25.48,2.53
4/3/2020,23.15,40.75,116.7333333,0.973,0,29.382,4.52,30,4698.68,6.95,6.96,3.955,23.99,2.53
4/4/2020,23.96,39.21,119.0666667,0.973,0,29.382,4.06,30,4728.68,7,6.96,3.955,24.63,2.53
